Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation
1,17,5,171,1,1,122.0,1,19,12,5,9
1,15,1,9254,1,1,160.0,1,1,3,3,3
1,1,5,9070,1,1,122.0,1,37,37,9,9
1,17,2,9773,1,1,122.0,1,38,37,5,3
2,39,1,8014,0,1,100.0,1,37,38,9,9
2,39,1,9991,0,19,133.1,1,37,37,9,7
1,1,1,9500,1,1,142.0,1,19,38,7,10
1,18,4,9254,1,1,119.0,1,37,37,9,9
1,1,3,9238,1,1,137.0,62,1,1,9,9
1,1,1,9238,1,1,138.0,1,1,19,4,7
1,1,1,9670,1,1,139.0,1,38,19,5,7
1,1,1,9500,1,1,136.0,1,19,38,9,9
1,1,2,9853,1,1,133.0,1,19,37,4,9
1,53,1,9254,1,42,110.0,1,1,1,4,7
1,1,1,9085,1,1,149.0,1,38,37,5,5
1,1,1,9773,1,1,127.0,1,19,37,9,3
1,18,1,9238,1,1,137.0,1,19,38,5,8
1,17,2,9500,1,1,135.0,1,19,1,5,4
1,1,1,9130,1,1,137.0,1,3,19,3,5
1,1,1,9853,1,1,140.0,1,19,19,7,7
1,1,3,171,1,1,122.0,1,1,1,9,8
1,18,4,9556,1,1,127.0,1,1,38,4,7
1,1,4,9500,1,1,142.0,1,19,19,1,1
1,1,4,9670,1,1,125.0,1,1,38,4,7
1,1,1,9500,1,1,126.0,1,19,19,3,7
1,1,1,9238,1,1,151.0,1,19,38,9,9
1,17,2,9238,1,1,115.0,1,19,38,7,8
1,1,1,9085,1,1,138.0,1,19,19,3,3
1,1,1,9147,1,1,135.0,1,19,1,9,9
1,17,2,9500,1,1,127.0,1,3,3,1,10
1,44,1,9003,1,39,150.0,1,4,5,4,2
1,51,1,9070,1,1,125.0,1,42,3,125,124
1,1,1,9147,1,1,143.0,1,1,1,4,6
1,18,1,8014,0,1,138.0,1,19,1,9,5
1,1,1,9991,0,1,130.0,1,2,37,3,9
1,39,1,33,1,1,130.0,1,38,37,9,6
1,39,1,9119,1,10,133.1,1,34,37,0,0
1,43,1,9147,1,1,140.0,1,37,37,6,6
4,39,1,9991,0,1,120.0,1,19,19,9,3
1,44,1,9130,1,39,120.0,6,4,4,3,6
1,1,5,9773,1,1,126.0,1,3,3,2,2
1,1,2,9147,1,1,133.0,1,3,19,2,7
1,1,6,9500,1,1,103.0,1,1,3,2,2
1,17,1,9773,1,1,120.0,1,1,38,5,5
1,39,1,9991,0,1,133.1,1,37,37,9,9
1,17,1,9991,0,1,154.0,1,38,38,4,5
1,17,2,9238,1,1,130.0,1,19,19,9,9
1,17,6,9500,1,1,132.0,1,37,19,7,7
1,44,1,8014,0,39,130.0,1,1,19,9,9
1,1,1,9238,1,1,139.0,1,37,38,9,9
1,39,1,9254,1,1,130.0,1,19,38,9,7
1,1,1,9500,1,1,139.0,1,37,38,6,6
1,1,1,9773,1,1,127.0,1,1,19,7,7
1,1,3,9130,1,1,167.0,1,37,37,90,90
1,39,1,9991,0,1,130.0,1,38,38,9,9
1,1,1,9500,1,1,130.0,1,1,19,5,5
2,7,1,9254,1,3,130.0,1,1,3,4,3
1,39,1,9130,1,40,129.0,1,3,3,2,2
